temp [C];R;;1 / T [K];ln R;;T [K];;ln Rntc/R0;beta
-40;335853,73;;0,00428908;12,72443102;;233,15;;3,51;3758,11
-39;314334,81;;0,00427077;12,65821397;;234,15;;3,45;3760,97
-38;294329,41;;0,00425260;12,59245486;;235,15;;3,38;3763,81
-37;275722,23;;0,00423460;12,52714922;;236,15;;3,32;3766,62
-36;258407,39;;0,00421674;12,46229265;;237,15;;3,25;3769,40
-35;242287,63;;0,00419903;12,39788085;;238,15;;3,19;3772,16
-34;227273,52;;0,00418148;12,33390951;;239,15;;3,12;3774,89
-33;213282,83;;0,00416406;12,27037440;;240,15;;3,06;3777,60
-32;200239,90;;0,00414680;12,20727143;;241,15;;3,00;3780,28
-31;188075,05;;0,00412967;12,14459636;;242,15;;2,93;3782,94
-30;176724,13;;0,00411269;12,08234521;;243,15;;2,87;3785,57
-29;166128,01;;0,00409584;12,02051391;;244,15;;2,81;3788,18
-28;156232,18;;0,00407914;11,95909851;;245,15;;2,75;3790,77
-27;146986,36;;0,00406256;11,89809507;;246,15;;2,69;3793,33
-26;138344,16;;0,00404613;11,83749977;;247,15;;2,63;3795,87
-25;130262,73;;0,00402982;11,77730869;;248,15;;2,57;3798,39
-24;122702,51;;0,00401365;11,71751809;;249,15;;2,51;3800,89
-23;115626,94;;0,00399760;11,65812425;;250,15;;2,45;3803,36
-22;109002,22;;0,00398168;11,59912353;;251,15;;2,39;3805,81
-21;102797,07;;0,00396589;11,54051213;;252,15;;2,33;3808,24
-20;96982,57;;0,00395023;11,48228655;;253,15;;2,27;3810,64
-19;91531,94;;0,00393468;11,42444326;;254,15;;2,21;3813,03
-18;86420,37;;0,00391926;11,36697869;;255,15;;2,16;3815,39
-17;81624,87;;0,00390396;11,30988927;;256,15;;2,10;3817,74
-16;77124,15;;0,00388878;11,25317174;;257,15;;2,04;3820,06
-15;72898,45;;0,00387372;11,19682266;;258,15;;1,99;3822,36
-14;68929,43;;0,00385877;11,14083851;;259,15;;1,93;3824,64
-13;65200,09;;0,00384394;11,08521613;;260,15;;1,87;3826,90
-12;61694,63;;0,00382922;11,02995217;;261,15;;1,82;3829,15
-11;58398,38;;0,00381461;10,97504343;;262,15;;1,76;3831,37
-10;55297,71;;0,00380011;10,92048678;;263,15;;1,71;3833,57
-9;52379,93;;0,00378573;10,86627878;;264,15;;1,66;3835,75
-8;49633,27;;0,00377145;10,81241665;;265,15;;1,60;3837,92
-7;47046,75;;0,00375728;10,75889707;;266,15;;1,55;3840,06
-6;44610,17;;0,00374322;10,70571714;;267,15;;1,50;3842,19
-5;42314,01;;0,00372926;10,65287352;;268,15;;1,44;3844,30
-4;40149,43;;0,00371540;10,60036352;;269,15;;1,39;3846,39
-3;38108,17;;0,00370165;10,54818397;;270,15;;1,34;3848,46
-2;36182,55;;0,00368800;10,49633224;;271,15;;1,29;3850,52
-1;34365,39;;0,00367444;10,44480523;;272,15;;1,23;3852,55
0;32650,00;;0,00366099;10,39360013;;273,15;;1,18;3854,57
1;31030,13;;0,00364764;10,34271395;;274,15;;1,13;3856,57
2;29499,96;;0,00363438;10,29214419;;275,15;;1,08;3858,56
3;28054,04;;0,00362122;10,24188793;;276,15;;1,03;3860,53
4;26687,28;;0,00360815;10,19194233;;277,15;;0,98;3862,48
5;25394,93;;0,00359518;10,14230483;;278,15;;0,93;3864,41
6;24172,55;;0,00358230;10,09297297;;279,15;;0,88;3866,33
7;23015,97;;0,00356952;10,04394360;;280,15;;0,83;3868,23
8;21921,31;;0,00355682;9,99521450;;281,15;;0,78;3870,12
9;20884,93;;0,00354421;9,94678313;;282,15;;0,74;3871,99
10;19903,41;;0,00353170;9,89864635;;283,15;;0,69;3873,84
11;18973,57;;0,00351927;9,85080224;;284,15;;0,64;3875,68
12;18092,41;;0,00350693;9,80324779;;285,15;;0,59;3877,50
13;17257,14;;0,00349467;9,75598125;;286,15;;0,55;3879,31
14;16465,12;;0,00348250;9,70899948;;287,15;;0,50;3881,10
15;15713,90;;0,00347041;9,66230095;;288,15;;0,45;3882,88
16;15001,15;;0,00345841;9,61588214;;289,15;;0,41;3884,64
17;14324,71;;0,00344649;9,56974130;;290,15;;0,36;3886,39
18;13682,54;;0,00343466;9,52387585;;291,15;;0,31;3888,13
19;13072,73;;0,00342290;9,47828366;;292,15;;0,27;3889,85
20;12493,48;;0,00341122;9,43296219;;293,15;;0,22;3891,55
21;11943,10;;0,00339963;9,38790898;;294,15;;0,18;3893,23
